AAA,RICHARD MURRAY III,"118 NORTH ROYAL STREET, 12TH FLOOR",,MOBILE,AL,36602,2514153011,Broker
AAB,JOHN C HEISMATH,13252 SKYCREST COURT,,CONROE,TX,77203,9364412270,Broker
AAC,AROMA FLEUR INC,"42030 AVENIDA ALVARADO, UNIT E",,TEMECULA,CA,92590,9092962050,Importer
AAD,EDUARDO PENA,212 B FALLER DRIVE,,NEW MILFORD,NJ,07646,2013878956,Importer
AAE,ALBA SANTANA,115-39 121 ST.,,OZONE PARK,NY,11420,7188455544,Broker
AAF,DEBRA A FALCI,160-47 25TH DRIVE,,FLUSHING,NY,11358,7187476883,Broker
AAG,JESSE A BUSTAMANTE,810 NORTH 5TH STREET,,EL CENTRO,CA,922431817,7605624365,Importer
AAH,DETROIT DUTY FREE LLC,CENTRAL SERVICES BLDG. APRON LEVEL,DETROIT METRO WAYNE COUNTY AIRPORT,DETROIT,MI,48424,3133634706,Importer
AAJ,LUIS DE LA ROSA,1000 RANCHWAY DRIVE,APT. 9,LAREDO,TX,78045,9567221096,Broker
AAK,SANDRA H SALINAS,8116 PURTZER DRIVE,,LAREDO,TX,78045,9567234768,Broker
AAL,GILBERTO GARCIA,213 W. VILLAGE,SUITE 1,LAREDO,TX,78045,9567539125,Broker
AAM,GOLDEN ROSE GOURMET FLOWER MARKET,119 E. ARROW HWY.,,SAN DIMAS,CA,91773,9099710266,Importer
AAN,NORTHWARE VENTURES INC,723 BRIDGE STREET,,HIDALGO,TX,78557,9568436800,Importer
AAP,CARLOS A VELA,2820 SAN BERNARDO AVENUE,SUITE 3,LAREDO,TX,78041,9567122200,Broker
AAQ,TITAN STEEL CORPORATION,2500-B BROENING HIGHWAY,,BALTIMORE,MD,21224,4106315200,Importer
AAR,TEAM PRODUCE INTERNATIONAL,8850 NW 20 STREET,,MIAMI,FL,33172,3055265601,Importer
AAS,ECUA ROSE,5600 AVENIDA ENCINAS,SUITE 25,CARLSBAD,CA,92008,7606020575,Importer
AAT,HATASHITA ENTERPRISES LLC,30 LINCOLN PLAZA # 14W,,NEW YORK,NY,10023,2127677247,Importer
AAU,CHINA MANUFACTURERS ALLIANCE INC,28015 SMYTH DRIVE,,VALENCIA,CA,91355,6617020988,Importer
AAV,JAMES LOFF KINNEY,1771 EAST FLAMINGO ROAD,SUITE B 211,LAS VEGAS,NV,891195154,7027366514,Broker
AAW,PATRICIO NASSAR,744 SAN JULIAN STREET,SUITE 11,LOS ANGELES,CA,90014,2134891761,Importer
AAX,CAMBRIAN FLOWER NORTHWEST LLC,5600 AVENIDA ENCINAS  # 22,,CARLSBAD,CA,92008,7608049551,Importer
AAY,GIOVANNY J LEON,4028 EAST SLAUSON AVENUE,,MAYWOOD,CA,90270,2132809991,Importer
AAZ,ANATOL TRADING CORPORATION,"12202 SOUTH MANOR DRIVE, UNIT 10",,HAWTHORNE,CA,90250,9104333791,Importer
AA0,RICHARD SCHWEITZER,1628 NW 82ND AVENUE,,MIAMI,FL,331260000,3055939855,Broker
AA1,SANDRA LEE BROWN,"4650 SOUTH PINEMONT, UNIT 128",,HOUSTON,TX,77041,7138950440,Broker
AA3,THYSSEN HANIEL LOGISTICS CUSTOMS,8010 ROSWELL ROAD,SUITE 300,ATLANTA,GA,30350,4043534200,Broker
AA4,INTERBROKERS CORPORATION,12160-C ROJAS STREET,,EL PASO,TX,799360000,9155934904,Broker
AA5,RALPH W GONTRUM JR,5 NORTH CALVERT ST,SUITE 1710,BALTIMORE,MD,212020000,3013327300,Broker
AA6,AEI DRAWBACK SERVICES INC,"1718 FRY ROAD, UNIT 240",,HOUSTON,TX,770840000,2815789605,Broker
AA7,AHUMADA-PARTIDA BROKERAGE,P O BOX 1407,,NOGALES,AZ,856280000,6022872226,Broker
AA8,JOYCE LOGISTICS INC,313 GLEN ECHO ROAD,,PHILADELPHIA,PA,191190000,2154827420,Broker
AA9,JOSE R HERNANDEZ,3019 NW 74TH AVENUE,,MIAMI,FL,331220000,3055913168,Broker
ABA,KATHLEEN DILLON,400 FAIRVIEW AVENUE,SUITE 5F,FORT LEE,NJ,07024,2013460604,Broker
ABB,EVAN TREWICK,50 DIVEN STREET,,SPRINGFIELD,NJ,070810000,9733793363,Importer
ABC,GRANMAR PRODUCTS INC,2731 NORTHWEST 104TH COURT,,MIAMI,FL,33172,3054704528,Importer
ABD,CAPPELLI STRAWORLD INC,5450 NORTHWEST 82ND AVENUE,,MIAMI,FL,33166,3055977180,Importer
ABE,AMERINDIAS BUSINESS CORPORATION,5220 NW 72 AVENUE,BAY A-3,MIAMI,FL,33166,3054710038,Importer
ABF,CHOICE FLOWER (SD) INC,"5600 AVENIDA ENCINAS, UNIT 27",,CARLSBAD,CA,92008,7603915492,Importer
ABG,AMERICANA SEAFOOD INC,"1409 VIRGINIA AVENUE, UNIT O",,BALDWIN PARK,CA,91706,6262862239,Importer
ABH,CT FLOWERS INC,"5600 AVENIDA ENCINAS, UNIT 32",,CARLSBAD,CA,92008,7606037998,Importer
ABJ,AL-ART VIDEO,111 EAST MERRICK ROAD,,VALLEY STREAM,NY,11580,5162560679,Importer
ABK,LUIS PROANO,820 THOMPSON AVE  # 38,,GLENDALE,CA,91201,8182464299,Importer
ABL,SPEED SOURCING INC,2140 CITY GATE DRIVE,,COLUMBUS,OH,43219,6144288380,Importer
